loan_id,origination_date,year,month,quarter,tranche,vehicle_type,credit_band,fico_score,original_balance,term_months,annual_rate,monthly_payment,charged_off,charge_off_month,charge_off_balance,recovery,deficiency_paid,net_loss
AL000131,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,805,21600.0,48,0.0567,504.02,False,,,,False,0.0
AL000132,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,823,20900.0,36,0.0541,630.25,False,,,,False,0.0
AL000133,2007-01-01,2007,1,1,2007-Q1,New,Prime,691,28100.0,36,0.077,876.67,False,,,,False,0.0
AL000134,2007-01-01,2007,1,1,2007-Q1,New,Subprime,633,16900.0,60,0.1404,393.58,False,,,,False,0.0
AL000135,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,654,30400.0,48,0.0891,755.21,False,,,,False,0.0
AL000136,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,802,31700.0,60,0.0663,622.18,False,,,,False,0.0
AL000137,2007-01-01,2007,1,1,2007-Q1,New,Subprime,590,29300.0,48,0.1389,799.05,True,8.0,25966.71,14603.24,False,11363.47
AL000138,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,723,26600.0,48,0.0634,628.86,False,,,,False,0.0
AL000139,2007-01-01,2007,1,1,2007-Q1,New,Subprime,587,25800.0,60,0.1349,593.52,False,,,,False,0.0
AL000140,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,641,33600.0,48,0.0914,838.37,False,,,,False,0.0
AL000141,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,662,18000.0,48,0.0906,448.44,False,,,,False,0.0
AL000142,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,668,20800.0,48,0.0924,519.98,False,,,,False,0.0
AL000143,2007-01-01,2007,1,1,2007-Q1,New,Prime,714,24700.0,60,0.07,489.09,False,,,,False,0.0
AL000144,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,723,24500.0,48,0.0531,567.66,False,,,,False,0.0
AL000145,2007-01-01,2007,1,1,2007-Q1,New,Prime,704,25700.0,48,0.067,611.85,False,,,,False,0.0
AL000146,2007-01-01,2007,1,1,2007-Q1,New,Subprime,629,27400.0,48,0.1248,728.02,True,7.0,24671.55,13623.47,False,11048.08
AL000147,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,640,32000.0,36,0.0968,1027.75,False,,,,False,0.0
AL000148,2007-01-01,2007,1,1,2007-Q1,New,Prime,707,25800.0,36,0.0757,803.37,False,,,,False,0.0
AL000149,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,768,36300.0,48,0.067,864.21,False,,,,False,0.0
AL000150,2007-01-01,2007,1,1,2007-Q1,New,Prime,687,29000.0,48,0.065,687.73,False,,,,False,0.0
AL000151,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,831,28600.0,48,0.0548,664.87,False,,,,False,0.0
AL000152,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,773,41000.0,60,0.0628,797.99,False,,,,False,0.0
AL000153,2007-01-01,2007,1,1,2007-Q1,New,Subprime,631,21500.0,48,0.1428,590.54,False,,,,False,0.0
AL000154,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,746,28300.0,36,0.0613,862.61,False,,,,False,0.0
AL000155,2007-01-01,2007,1,1,2007-Q1,New,Prime,687,26800.0,48,0.082,656.79,False,,,,False,0.0
AL000156,2007-01-01,2007,1,1,2007-Q1,New,Prime,708,23900.0,48,0.0827,586.5,False,,,,False,0.0
AL000157,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,745,23000.0,48,0.0583,538.36,False,,,,False,0.0
AL000158,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,641,27000.0,48,0.0991,683.62,False,,,,False,0.0
AL000159,2007-01-01,2007,1,1,2007-Q1,New,Subprime,615,26300.0,48,0.1406,719.48,False,,,,False,0.0
AL000160,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,653,27500.0,48,0.0906,685.12,True,14.0,21003.4,10213.57,False,10789.83
AL000161,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,653,26700.0,60,0.1016,569.4,False,,,,False,0.0
AL000162,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,677,26900.0,60,0.1033,575.92,False,,,,False,0.0
AL000163,2007-01-01,2007,1,1,2007-Q1,New,Prime,715,31200.0,36,0.0672,959.38,False,,,,False,0.0
AL000164,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,782,26200.0,48,0.0611,616.63,False,,,,False,0.0
AL000165,2007-01-01,2007,1,1,2007-Q1,New,Subprime,627,20300.0,36,0.1259,679.99,False,,,,False,0.0
AL000166,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,671,28400.0,48,0.101,721.66,False,,,,False,0.0
AL000167,2007-01-01,2007,1,1,2007-Q1,New,Subprime,632,20300.0,36,0.1386,692.43,False,,,,False,0.0
AL000168,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,672,16900.0,60,0.0914,351.97,False,,,,False,0.0
AL000169,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,656,25000.0,48,0.0979,631.55,False,,,,False,0.0
AL000170,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,676,30400.0,48,0.0984,768.69,False,,,,False,0.0
AL000171,2007-01-01,2007,1,1,2007-Q1,New,Prime,708,32000.0,48,0.0831,785.88,False,,,,False,0.0
AL000172,2007-01-01,2007,1,1,2007-Q1,New,Prime,691,25200.0,60,0.0796,510.48,False,,,,False,0.0
AL000173,2007-01-01,2007,1,1,2007-Q1,New,Prime,699,30000.0,48,0.0704,718.94,False,,,,False,0.0
AL000174,2007-01-01,2007,1,1,2007-Q1,New,Prime,684,34000.0,48,0.0711,815.91,False,,,,False,0.0
AL000175,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,762,23400.0,48,0.0605,550.09,False,,,,False,0.0
AL000176,2007-01-01,2007,1,1,2007-Q1,New,Subprime,636,24300.0,36,0.1375,827.57,False,,,,False,0.0
AL000177,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,792,29100.0,60,0.0572,558.8,False,,,,False,0.0
AL000178,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,818,26000.0,36,0.0504,779.71,False,,,,False,0.0
AL000179,2007-01-01,2007,1,1,2007-Q1,New,Prime,711,29300.0,36,0.0749,911.28,False,,,,False,0.0
AL000180,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,650,29500.0,36,0.0964,946.9,False,,,,False,0.0
AL000181,2007-01-01,2007,1,1,2007-Q1,Used,Prime,690,15900.0,48,0.0746,384.15,False,,,,False,0.0
AL000182,2007-01-01,2007,1,1,2007-Q1,Used,Prime,716,9200.0,48,0.0734,221.76,False,,,,False,0.0
AL000183,2007-01-01,2007,1,1,2007-Q1,Used,Prime,708,20600.0,48,0.0738,496.93,False,,,,False,0.0
AL000184,2007-01-01,2007,1,1,2007-Q1,Used,Subprime,623,13200.0,48,0.1252,350.99,False,,,,False,0.0
AL000185,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,797,17000.0,48,0.065,403.15,False,,,,False,0.0
AL000186,2007-01-01,2007,1,1,2007-Q1,Used,Prime,701,11500.0,60,0.0762,231.09,False,,,,False,0.0
AL000187,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,779,14100.0,48,0.0575,329.53,False,,,,False,0.0
AL000188,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,805,19400.0,48,0.048,445.01,False,,,,False,0.0
AL000189,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,678,16400.0,48,0.0947,411.78,False,,,,False,0.0
AL000190,2007-01-01,2007,1,1,2007-Q1,Used,Prime,703,17500.0,48,0.0751,423.21,False,,,,False,0.0
AL000191,2007-01-01,2007,1,1,2007-Q1,Used,Prime,696,15000.0,48,0.0875,371.5,False,,,,False,0.0
AL000192,2007-01-01,2007,1,1,2007-Q1,Used,Prime,718,12500.0,48,0.081,305.75,False,,,,False,0.0
AL000193,2007-01-01,2007,1,1,2007-Q1,Used,Prime,713,12500.0,48,0.0812,305.87,False,,,,False,0.0
AL000194,2007-01-01,2007,1,1,2007-Q1,Used,Subprime,638,12900.0,48,0.1274,344.41,True,25.0,7263.05,2948.04,False,4315.01
AL000195,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,747,13300.0,36,0.0539,400.95,False,,,,False,0.0
AL000196,2007-01-01,2007,1,1,2007-Q1,Used,Prime,710,11900.0,60,0.0687,234.91,False,,,,False,0.0
AL000197,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,655,9100.0,48,0.0916,227.15,False,,,,False,0.0
AL000198,2007-01-01,2007,1,1,2007-Q1,Used,Subprime,593,20800.0,48,0.1421,570.58,False,,,,False,0.0
AL000199,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,721,5000.0,48,0.0462,114.29,False,,,,False,0.0
AL000200,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,677,13700.0,48,0.0976,345.89,False,,,,False,0.0
AL000201,2007-01-01,2007,1,1,2007-Q1,Used,Prime,688,12100.0,48,0.0813,296.14,False,,,,False,0.0
AL000202,2007-01-01,2007,1,1,2007-Q1,Used,Prime,703,14500.0,48,0.0699,347.15,False,,,,False,0.0
AL000203,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,665,13000.0,48,0.1,329.71,False,,,,False,0.0
AL000204,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,791,10700.0,48,0.0622,252.37,False,,,,False,0.0
AL000205,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,734,6800.0,48,0.0599,159.67,False,,,,False,0.0
AL000206,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,677,12600.0,36,0.0875,399.21,False,,,,False,0.0
AL000207,2007-01-01,2007,1,1,2007-Q1,Used,Prime,714,10800.0,48,0.0723,259.77,False,,,,False,0.0
AL000208,2007-01-01,2007,1,1,2007-Q1,Used,Prime,712,15600.0,36,0.0707,482.18,False,,,,False,0.0
AL000209,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,746,11300.0,60,0.0621,219.57,False,,,,False,0.0
AL000210,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,651,7500.0,60,0.0897,155.58,False,,,,False,0.0
AL000211,2007-01-01,2007,1,1,2007-Q1,Used,Prime,686,7000.0,60,0.0761,140.63,False,,,,False,0.0
AL000212,2007-01-01,2007,1,1,2007-Q1,Used,Prime,681,7700.0,60,0.0788,155.69,False,,,,False,0.0
AL000213,2007-01-01,2007,1,1,2007-Q1,Used,Subprime,617,14100.0,60,0.135,324.44,False,,,,False,0.0
AL000214,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,761,15800.0,60,0.0546,301.51,False,,,,False,0.0
AL000215,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,749,7300.0,48,0.0557,170.01,False,,,,False,0.0
AL000216,2007-01-01,2007,1,1,2007-Q1,Used,Subprime,582,9100.0,36,0.1342,308.46,False,,,,False,0.0
AL000217,2007-01-01,2007,1,1,2007-Q1,Used,Super Prime,775,12700.0,36,0.0527,382.17,False,,,,False,0.0
AL000218,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,643,9500.0,48,0.099,240.49,False,,,,False,0.0
AL000219,2007-01-01,2007,1,1,2007-Q1,Used,Near Prime,649,12400.0,36,0.0962,397.9,False,,,,False,0.0
